"product_id","product_name","total_revenue","total_orders","rank"
"bb50f2e236e5eea0100680137654686c","health_beauty","66538.40","192","1"
"d1c427060a0f73f6b889a5c7c61f2ac4","computers_accessories","57382.33","322","2"
"6cdd53843498f92890544667809f1595","health_beauty","57101.35","151","3"
"99a4788cb24856965c36a24e339b6058","bed_bath_table","49408.18","472","4"
"d6160fb7873f184099d9bc95e30376af","computers","47314.18","33","5"
"3dd2a17168ec895c781a9191c1e95ad7","computers_accessories","46847.12","266","6"
"aca2eb7d00ea1a7b8ebd4e68314663af","furniture_decor","43633.95","513","7"
"5f504b3a1c75b73d6151be81eb05bdc9","cool_stuff","41725.81","63","8"
"25c38557cf793876c5abdd5931f922db","baby","40311.95","38","9"
"53b36df67ebb7c41585e8d54d6772e08","watches_gifts","38714.02","313","10"
