"customer_segment","avg_order_value","total_orders"
"PB","263.79","501"
"AC","252.18","75"
"AP","240.92","67"
"AL","238.64","389"
"RO","236.13","237"
"PI","223.23","462"
"TO","220.37","267"
"PA","219.08","920"
"RR","218.49","38"
"RN","214.41","461"
"SE","208.81","331"
"MA","207.43","697"
"CE","206.78","1247"
"MT","204.92","859"
"PE","193.82","1556"
"MS","192.51","688"
"AM","187.73","143"
"BA","182.01","3169"
"GO","169.68","1875"
"SC","168.75","3437"
"RJ","166.78","12031"
"DF","166.57","2012"
"RS","161.86","5188"
"MG","160.89","11026"
"ES","159.57","1951"
"PR","159.03","4774"
"SP","142.71","39380"
